,0
0,0
1,1
2,2
3,3
4,4
5,3
6,4
7,3
8,4
9,5
10,6
11,7
12,8
13,7
14,8
15,9
16,8
17,7
18,6
19,5
20,4
21,3
22,4
23,3
24,2
25,1
26,0
27,-1
28,-2
29,-3
30,-4
31,-5
32,-6
33,-7
34,-8
35,-7
36,-6
37,-7
38,-8
39,-7
40,-8
41,-7
42,-6
43,-7
44,-8
45,-9
46,-8
47,-9
48,-10
49,-9
50,-8
51,-9
52,-10
53,-11
54,-12
55,-13
56,-14
57,-13
58,-12
59,-11
60,-12
61,-13
62,-12
63,-11
64,-10
65,-11
66,-10
67,-11
68,-12
69,-11
70,-10
71,-11
72,-12
73,-13
74,-12
75,-13
76,-12
77,-13
78,-14
79,-13
80,-14
81,-13
82,-12
83,-13
84,-12
85,-11
86,-12
87,-13
88,-14
89,-15
90,-16
91,-17
92,-18
93,-17
94,-18
95,-19
96,-20
97,-21
98,-22
99,-21
100,-20
101,-19
102,-20
103,-19
104,-18
105,-19
106,-18
107,-17
108,-16
109,-15
110,-16
111,-15
112,-16
113,-15
114,-16
115,-15
116,-16
117,-17
118,-18
119,-19
120,-18
121,-17
122,-18
123,-17
124,-16
125,-17
126,-16
127,-17
128,-18
129,-17
130,-16
131,-17
132,-16
133,-17
134,-18
135,-19
136,-20
137,-21
138,-20
139,-21
140,-20
141,-21
142,-22
143,-23
144,-22
145,-23
146,-22
147,-23
148,-24
149,-23
150,-24
151,-25
152,-24
153,-25
154,-24
155,-23
156,-22
157,-21
158,-20
159,-21
160,-22
161,-21
162,-20
163,-21
164,-20
165,-21
166,-22
167,-23
168,-22
169,-23
170,-24
171,-23
172,-24
173,-25
174,-24
175,-25
176,-24
177,-23
178,-22
179,-21
180,-20
181,-19
182,-18
183,-19
184,-20
185,-19
186,-18
187,-17
188,-18
189,-17
190,-16
191,-15
192,-16
193,-15
194,-16
195,-15
196,-16
197,-15
198,-14
199,-13
200,-12
201,-11
202,-10
203,-9
204,-10
205,-9
206,-8
207,-7
208,-8
209,-9
210,-10
211,-9
212,-8
213,-7
214,-8
215,-9
216,-8
217,-7
218,-6
219,-7
220,-6
221,-5
222,-4
223,-5
224,-6
225,-5
226,-6
227,-5
228,-6
229,-5
230,-6
231,-7
232,-8
233,-7
234,-6
235,-7
236,-8
237,-9
238,-8
239,-9
240,-10
241,-11
242,-10
243,-9
244,-8
245,-9
246,-8
247,-9
248,-8
249,-7
250,-6
251,-5
252,-6
253,-7
254,-6
255,-5
256,-4
257,-5
258,-4
259,-5
260,-6
261,-5
262,-6
263,-5
264,-6
265,-7
266,-6
267,-5
268,-4
269,-3
270,-2
271,-3
272,-4
273,-3
274,-2
275,-3
276,-4
277,-5
278,-6
279,-7
280,-6
281,-7
282,-8
283,-9
284,-10
285,-9
286,-10
287,-11
288,-12
289,-11
290,-12
291,-11
292,-10
293,-11
294,-10
295,-11
296,-12
297,-11
298,-10
299,-9
300,-10
301,-9
302,-8
303,-7
304,-6
305,-5
306,-4
307,-5
308,-6
309,-5
310,-4
311,-5
312,-4
313,-5
314,-6
315,-7
316,-8
317,-9
318,-10
319,-11
320,-10
321,-9
322,-10
323,-11
324,-10
325,-11
326,-12
327,-13
328,-12
329,-13
330,-12
331,-11
332,-10
333,-11
334,-10
335,-11
336,-10
337,-9
338,-8
339,-7
340,-8
341,-9
342,-10
343,-9
344,-8
345,-9
346,-8
347,-9
348,-8
349,-9
350,-8
351,-7
352,-6
353,-7
354,-8
355,-9
356,-10
357,-11
358,-10
359,-9
360,-10
361,-9
362,-8
363,-7
364,-8
365,-7
366,-8
367,-9
368,-10
369,-9
370,-10
371,-11
372,-12
373,-11
374,-12
375,-11
376,-12
377,-13
378,-14
379,-13
380,-12
381,-13
382,-12
383,-13
384,-14
385,-15
386,-16
387,-17
388,-18
389,-19
390,-18
391,-19
392,-20
393,-21
394,-22
395,-23
396,-24
397,-25
398,-26
399,-27
400,-26
401,-27
402,-28
403,-29
404,-30
405,-29
406,-28
407,-27
408,-28
409,-27
410,-28
411,-27
412,-26
413,-27
414,-28
415,-27
416,-28
417,-27
418,-26
419,-25
420,-24
421,-25
422,-24
423,-25
424,-24
425,-25
426,-26
427,-25
428,-26
429,-25
430,-26
431,-27
432,-26
433,-25
434,-26
435,-25
436,-24
437,-23
438,-24
439,-25
440,-24
441,-25
442,-24
443,-23
444,-22
445,-23
446,-22
447,-21
448,-22
449,-21
450,-20
451,-19
452,-18
453,-19
454,-18
455,-19
456,-20
457,-19
458,-18
459,-19
460,-20
461,-21
462,-22
463,-23
464,-22
465,-23
466,-24
467,-23
468,-24
469,-23
470,-24
471,-23
472,-22
473,-21
474,-20
475,-19
476,-18
477,-19
478,-18
479,-19
480,-18
481,-19
482,-18
483,-19
484,-18
485,-17
486,-18
487,-19
488,-20
489,-19
490,-18
491,-17
492,-18
493,-17
494,-16
495,-15
496,-16
497,-15
498,-14
499,-13
500,-12
501,-11
502,-10
503,-11
504,-12
505,-11
506,-10
507,-9
508,-10
509,-9
510,-10
511,-11
512,-12
513,-11
514,-12
515,-11
516,-12
517,-11
518,-12
519,-13
520,-12
521,-11
522,-10
523,-11
524,-12
525,-13
526,-14
527,-13
528,-14
529,-13
530,-14
531,-15
532,-14
533,-13
534,-14
535,-13
536,-12
537,-11
538,-10
539,-9
540,-10
541,-9
542,-8
543,-9
544,-10
545,-11
546,-10
547,-11
548,-12
549,-13
550,-14
551,-15
552,-14
553,-15
554,-16
555,-15
556,-16
557,-17
558,-16
559,-17
560,-16
561,-15
562,-16
563,-17
564,-16
565,-17
566,-18
567,-19
568,-18
569,-19
570,-18
571,-17
572,-16
573,-17
574,-18
575,-19
576,-20
577,-19
578,-20
579,-19
580,-20
581,-21
582,-20
583,-21
584,-20
585,-19
586,-18
587,-17
588,-16
589,-17
590,-18
591,-19
592,-18
593,-17
594,-18
595,-19
596,-20
597,-19
598,-18
599,-19
600,-18
601,-17
602,-16
603,-17
604,-16
605,-17
606,-16
607,-17
608,-16
609,-17
610,-18
611,-17
612,-16
613,-15
614,-16
615,-15
616,-16
617,-15
618,-16
619,-15
620,-14
621,-13
622,-14
623,-15
624,-14
625,-13
626,-12
627,-11
628,-12
629,-13
630,-14
631,-15
632,-16
633,-15
634,-16
635,-15
636,-14
637,-15
638,-16
639,-15
640,-14
641,-13
642,-12
643,-11
644,-10
645,-9
646,-8
647,-7
648,-8
649,-9
650,-10
651,-9
652,-8
653,-7
654,-8
655,-9
656,-10
657,-11
658,-12
659,-13
660,-12
661,-13
662,-14
663,-15
664,-16
665,-15
666,-14
667,-15
668,-14
669,-13
670,-12
671,-13
672,-14
673,-15
674,-16
675,-15
676,-16
677,-17
678,-16
679,-15
680,-16
681,-15
682,-16
683,-15
684,-14
685,-15
686,-14
687,-13
688,-14
689,-15
690,-14
691,-13
692,-14
693,-15
694,-14
695,-15
696,-16
697,-17
698,-16
699,-17
700,-16
701,-15
702,-16
703,-15
704,-14
705,-13
706,-14
707,-13
708,-14
709,-15
710,-14
711,-15
712,-16
713,-17
714,-18
715,-19
716,-18
717,-19
718,-18
719,-19
720,-18
721,-17
722,-18
723,-17
724,-18
725,-19
726,-20
727,-19
728,-18
729,-17
730,-18
731,-19
732,-18
733,-19
734,-20
735,-21
736,-20
737,-21
738,-20
739,-21
740,-22
741,-23
742,-22
743,-23
744,-22
745,-21
746,-22
747,-23
748,-22
749,-23
750,-22
751,-21
752,-22
753,-23
754,-22
755,-21
756,-20
757,-21
758,-22
759,-23
760,-24
761,-23
762,-22
763,-21
764,-20
765,-21
766,-20
767,-21
768,-22
769,-23
770,-22
771,-23
772,-22
773,-21
774,-20
775,-21
776,-22
777,-23
778,-22
779,-21
780,-22
781,-21
782,-22
783,-23
784,-24
785,-23
786,-24
787,-23
788,-24
789,-23
790,-22
791,-23
792,-22
793,-23
794,-22
795,-23
796,-24
797,-23
798,-24
799,-23
800,-24
801,-23
802,-24
803,-23
804,-22
805,-21
806,-20
807,-21
808,-22
809,-21
810,-20
811,-21
812,-20
813,-21
814,-22
815,-21
816,-20
817,-19
818,-20
819,-19
820,-18
821,-19
822,-18
823,-19
824,-20
825,-19
826,-20
827,-21
828,-20
829,-21
830,-20
831,-21
832,-22
833,-23
834,-22
835,-21
836,-20
837,-19
838,-18
839,-17
840,-16
841,-15
842,-14
843,-13
844,-14
845,-15
846,-14
847,-15
848,-16
849,-17
850,-16
851,-17
852,-16
853,-15
854,-14
855,-13
856,-14
857,-13
858,-14
859,-13
860,-12
861,-11
862,-12
863,-13
864,-14
865,-13
866,-12
